"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1918139281190920438","Fri May 02 09:58:38 +0000 2025","1","@ThroughTheRainn ya tergantung orangnya kalo iman nggak kuat jadi deh gituan hahaha mereka butuh asupan dopamin di otak buat melepas penat/stress akibat kerja berat di ikn","1918243725710696821","","ThroughTheRainn","in","IZ*ONE ","0","0","0","https://x.com/izoneismyno1/status/1918243725710696821","20974464","izoneismyno1"
"1918242736727380025","Fri May 02 09:54:42 +0000 2025","6","Ringkus","1918242736727380025","","","in","","0","0","1","https://x.com/Muhamma70893310/status/1918242736727380025","1519307015721349121","Muhamma70893310"
"1918109889886621764","Fri May 02 09:54:29 +0000 2025","0","@frz_tmr lah ini mah ikn","1918242684407562322","","frz_tmr","in","","0","0","0","https://x.com/bububecanda/status/1918242684407562322","1270980708144541696","bububecanda"
"1918101903613018456","Fri May 02 09:52:33 +0000 2025","0","@Bubaks___ Butuh luxury shuttle buat pelanggan vip. Ready bpn/smd/sgt/btg ke ikn ","1918242197046214682","","Bubaks___","in","California, USA","0","1","0","https://x.com/H36TR/status/1918242197046214682","1555459122778509312","H36TR"
"1918240097583153372","Fri May 02 09:52:25 +0000 2025","0","Pemerintah (dari Presiden sih awalnya) kebanyakan fokus ke hal2 gak penting yang bikin pengeluaran dana berlebihan. Dari Bansos IKN MBG.","1918242161809866933","","UndefinedAO","in","Take me off (of Indonesia)","0","3","0","https://x.com/UndefinedAO/status/1918242161809866933","1539368571339677697","UndefinedAO"
"1918241355563974822","Fri May 02 09:49:13 +0000 2025","0","Strategi nya siapa ini ya Dgn banyak nya para PSK otomatis IKN akan banyak di kunjungi para investor ( per lendir an dan perjudian ) baik lokal nasional maupun internasional ide nya cukup brilian https://t.co/Z29uovUzHO","1918241355563974822","https://pbs.twimg.com/media/Gp72WOKawAYyTZ5.jpg","","in","","0","0","0","https://x.com/BakeKok14408086/status/1918241355563974822","1517090652932038656","BakeKok14408086"
"1918234856607412269","Fri May 02 09:46:59 +0000 2025","0","@piastrizzz bener sih tp dengan pikiran ikn dulunya adalah belantara hutan bisa jadi psk-nya bukan 'asli' penduduk disana gak sih? ini masalah struktural yang kalau dijabarin secara sosiologi ekonomi dan hukumnya ada banget","1918240794152210796","","piastrizzz","in","parc fermé","0","0","0","https://x.com/oscarloscarr/status/1918240794152210796","1695496110918500352","oscarloscarr"
"1918240040255406302","Fri May 02 09:43:59 +0000 2025","1","Akhirnya","1918240040255406302","","","in","","0","0","0","https://x.com/Muhamma70893310/status/1918240040255406302","1519307015721349121","Muhamma70893310"
"1918227358232002884","Fri May 02 09:43:17 +0000 2025","0","@temeninvest @TxtdariHI mau ditaruh di IKN ?","1918239862815375634","","temeninvest","in","Indonesia","0","0","0","https://x.com/firmannnnnz/status/1918239862815375634","1853255723809222656","firmannnnnz"
"1917892416876732891","Fri May 02 09:41:39 +0000 2025","0","@its_Rosalin Terserah padamu","1918239451849081021","","its_Rosalin","in","","0","0","0","https://x.com/Muhamma70893310/status/1918239451849081021","1519307015721349121","Muhamma70893310"
